Frequency(Hz),Impedance(Ohms)
100.0000,58943.9145
299.0000,19707.4217
498.0000,11824.8794
697.0000,8440.7830
896.0000,6557.8786
1095.0000,5357.7483
1294.0000,4525.4299
1493.0000,3913.8928
1692.0000,3445.2837
1891.0000,3074.5276
2090.0000,2773.7226
2289.0000,2524.6757
2488.0000,2315.0196
2687.0000,2136.0563
2886.0000,1981.4914
3085.0000,1846.6598
3284.0000,1728.0317
3483.0000,1622.8887
3682.0000,1529.1044
3881.0000,1444.9930
4080.0000,1369.2015
4279.0000,1300.6330
4478.0000,1238.3892
4677.0000,1181.7284
4876.0000,1130.0333
5075.0000,1082.7869
5274.0000,1039.5529
5473.0000,999.9611
5672.0000,963.6953
5871.0000,930.4843
6070.0000,900.0936
6269.0000,872.3193
6468.0000,846.9832
6667.0000,823.9281
6866.0000,803.0144
7065.0000,784.1171
7264.0000,767.1231
7463.0000,751.9294
7662.0000,738.4410
7861.0000,726.5695
8060.0000,716.2321
8259.0000,707.3503
8458.0000,699.8496
8657.0000,693.6582
8856.0000,688.7075
9055.0000,684.9308
9254.0000,682.2640
9453.0000,680.6449
9652.0000,680.0134
9851.0000,680.3113
10050.0000,681.4827
10249.0000,683.4738
10448.0000,686.2329
10647.0000,689.7106
10846.0000,693.8597
11045.0000,698.6355
11244.0000,703.9954
11443.0000,709.8993
11642.0000,716.3092
11841.0000,723.1895
12040.0000,730.5068
12239.0000,738.2296
12438.0000,746.3287
12637.0000,754.7767
12836.0000,763.5482
13035.0000,772.6193
13234.0000,781.9682
13433.0000,791.5742
13632.0000,801.4185
13831.0000,811.4834
14030.0000,821.7526
14229.0000,832.2111
14428.0000,842.8448
14627.0000,853.6408
14826.0000,864.5872
15025.0000,875.6729
15224.0000,886.8877
15423.0000,898.2221
15622.0000,909.6673
15821.0000,921.2153
16020.0000,932.8587
16219.0000,944.5904
16418.0000,956.4040
16617.0000,968.2936
16816.0000,980.2538
17015.0000,992.2794
17214.0000,1004.3658
17413.0000,1016.5085
17612.0000,1028.7035
17811.0000,1040.9470
18010.0000,1053.2356
18209.0000,1065.5660
18408.0000,1077.9353
18607.0000,1090.3406
18806.0000,1102.7794
19005.0000,1115.2492
19204.0000,1127.7478
19403.0000,1140.2732
19602.0000,1152.8233
19801.0000,1165.3964
20000.0000,1177.9909
